---,X,Y,Z,T
353,-1.425,-14.337,2.247,0.1
354,-1.368,-14.145,1.572,0.1
355,-1.316,-13.950,359.836,0.1
356,-1.267,-13.734,357.444,0.1
357,-1.224,-13.516,356.059,0.1
358,-1.188,-13.318,356.166,0.1
359,-1.147,-13.102,356.995,0.1
360,-1.106,-12.906,357.564,0.1
361,-1.028,-12.722,357.935,0.1
362,-0.930,-12.547,357.854,0.1
363,-0.814,-12.357,357.216,0.1
364,-0.701,-12.167,356.401,0.1
365,-0.623,-11.961,355.476,0.1
366,-0.617,-11.781,354.595,0.1
367,-0.629,-11.667,353.950,0.1
368,-0.637,-11.589,353.781,0.1
369,-0.646,-11.511,353.729,0.1
370,-0.655,-11.429,353.738,0.1
371,-0.657,-11.236,354.000,0.1
372,-0.649,-11.035,354.176,0.1
373,-0.642,-10.835,354.314,0.1
374,-0.633,-10.615,354.385,0.1
375,-0.624,-10.414,354.574,0.1
376,-0.613,-10.214,355.273,0.1
377,-0.590,-9.991,356.399,0.1
378,-0.544,-9.776,356.456,0.1
379,-0.496,-9.581,356.300,0.1
380,-0.443,-9.367,355.957,0.1
381,-0.392,-9.151,355.760,0.1
382,-0.346,-8.956,355.649,0.1
383,-0.299,-8.761,355.737,0.1
384,-0.253,-8.565,355.637,0.1
385,-0.202,-8.350,355.347,0.1
386,-0.158,-8.155,354.972,0.1
387,-0.110,-7.938,354.639,0.1
388,-0.068,-7.739,354.333,0.1
389,-0.023,-7.524,354.129,0.1
390,0.023,-7.305,354.123,0.1
391,0.068,-7.090,354.050,0.1
392,0.108,-6.893,353.738,0.1
393,0.146,-6.695,353.036,0.1
394,0.182,-6.498,352.308,0.1
395,0.216,-6.299,352.119,0.1
396,0.239,-6.084,346.210,0.1
397,0.241,-5.866,341.532,0.1
398,0.238,-5.666,341.704,0.1
399,0.236,-5.466,341.877,0.1
400,0.232,-5.244,341.675,0.1
401,0.218,-5.044,340.779,0.1
402,0.184,-4.829,334.365,0.1
403,0.132,-4.638,328.668,0.1
404,0.064,-4.425,328.207,0.1
405,-0.002,-4.216,328.007,0.1
406,-0.064,-4.025,327.451,0.1
407,-0.139,-3.842,321.490,0.1
408,-0.242,-3.653,314.730,0.1
409,-0.338,-3.451,314.072,0.1
410,-0.423,-3.247,313.763,0.1
411,-0.500,-3.061,313.647,0.1
412,-0.589,-2.861,310.030,0.1
413,-0.699,-2.674,302.932,0.1
414,-0.813,-2.509,301.290,0.1
415,-0.941,-2.327,300.493,0.1
416,-1.072,-2.147,300.008,0.1
417,-1.204,-1.970,298.597,0.1
418,-1.333,-1.821,292.855,0.1
419,-1.490,-1.672,289.336,0.1
420,-1.636,-1.534,289.410,0.1
421,-1.797,-1.382,289.248,0.1
422,-1.953,-1.224,289.069,0.1
423,-2.090,-1.079,288.500,0.1
424,-2.231,-0.927,287.317,0.1
425,-2.363,-0.796,286.458,0.1
426,-2.499,-0.667,284.900,0.1
427,-2.656,-0.542,278.523,0.1
428,-2.808,-0.442,274.484,0.1
429,-2.983,-0.329,275.392,0.1
430,-3.152,-0.222,275.708,0.1
431,-3.307,-0.128,275.645,0.1
432,-3.463,-0.035,275.557,0.1
433,-3.637,0.022,275.594,0.1
434,-3.813,0.049,275.697,0.1
435,-3.970,0.064,275.231,0.1
436,-4.095,0.074,274.192,0.1
437,-4.218,0.082,272.617,0.1
